source,target,time_fps
fly6,fly7,3413
fly5,fly12,3417
fly10,fly4,3430
fly1,fly12,3455
fly12,fly1,3458
fly5,fly2,3465
fly4,fly10,3485
fly10,fly4,3489
fly6,fly10,3490
fly3,fly4,3494
fly12,fly5,3495
fly3,fly10,3500
fly2,fly12,3515
fly3,fly10,3519
fly6,fly1,3527
fly8,fly9,3562
fly4,fly3,3609
fly3,fly10,3612
fly11,fly1,3641
fly1,fly11,3643
fly9,fly4,3651
fly2,fly9,3656
fly5,fly10,3661
fly10,fly5,3661
fly12,fly2,3665
fly12,fly4,3667
fly9,fly2,3679
fly5,fly12,3683
fly2,fly12,3684
fly12,fly10,3715
fly7,fly3,3731
fly1,fly7,3748
fly7,fly1,3763
fly7,fly5,3784
fly5,fly7,3784
fly1,fly3,3793
fly3,fly7,3795
fly2,fly12,3818
fly12,fly2,3818
fly12,fly11,3824
fly2,fly11,3830
fly7,fly5,3835
fly8,fly9,3871
fly2,fly12,3873
fly4,fly10,3960
fly12,fly6,3963
fly6,fly8,3979
fly11,fly1,3985
fly1,fly11,3986
fly9,fly5,3994
fly5,fly9,3995
fly12,fly8,4022
fly11,fly7,4055
fly12,fly5,4061
fly5,fly12,4062
fly12,fly1,4063
fly9,fly10,4064
fly7,fly11,4067
fly7,fly9,4077
fly12,fly5,4109
fly1,fly12,4115
fly8,fly1,4132
fly8,fly12,4133
fly1,fly8,4133
fly4,fly3,4139
fly7,fly1,4171
fly6,fly5,4185
fly9,fly7,4214
fly11,fly4,4219
fly8,fly3,4224
fly7,fly1,4234
fly12,fly11,4250
fly4,fly5,4263
fly6,fly4,4264
fly12,fly1,4367
fly1,fly12,4379
fly12,fly1,4405
fly3,fly9,4417
fly4,fly7,4431
fly1,fly4,4441
fly4,fly1,4441
fly4,fly12,4451
fly5,fly2,4461
fly1,fly3,4482
fly7,fly3,4497
fly6,fly9,4499
fly9,fly6,4499
fly12,fly5,4541
fly5,fly12,4550
fly9,fly2,4568
fly5,fly12,4597
fly2,fly9,4614
fly11,fly2,4617
fly12,fly3,4650
fly11,fly9,4674
fly2,fly12,4691
fly12,fly9,4692
fly11,fly9,4761
fly9,fly11,4763
fly12,fly2,4782
fly4,fly6,4802
fly5,fly1,4822
fly10,fly11,4824
fly7,fly4,4840
fly4,fly2,4850
fly2,fly4,4851
fly2,fly3,4891
fly8,fly9,4896
fly9,fly8,4896
fly7,fly5,4903
